Model,Cumsum(minutes),Normalized Coverage,Normalized Accuracy
Random baseline-tight-to-tight,1250,70.74,23.32
icts Runtime-tight-to-tight,743,62.5,4.48
epea Runtime-tight-to-tight,730,63.53,7.92
sat Runtime-tight-to-tight,2895,64.15,2.79
cbsh-c Runtime-tight-to-tight,1628,75.43,65.17
lazycbs Runtime-tight-to-tight,260,82.74,19.64
Best-at-maptype-by-norm-cov baseline-tight-to-tight,552,87.95,52.44
Best-at-maptype-by-norm-acc baseline-tight-to-tight,868,80.32,59.82
Optimal Oracle-tight-to-tight,84,100,100
XGBoost Regression-tight-to-tight-tight-to-tight,259,91.47,49.29
XGBoost Classification-tight-to-tight-tight-to-tight,817,87.91,71.62
XGBoost Coverage-tight-to-tight-tight-to-tight,176,94.16,51.12
Cost-Sensitive Coverage-tight-to-tight-tight-to-tight,420,86.31,68.33
CNN Regression-tight-to-tight-tight-to-tight,441,76.4,17.11
CNN Classification-tight-to-tight-tight-to-tight,1499,74.95,50.08
CNN Coverage-tight-to-tight-tight-to-tight,280,82.17,20.98
CNN Cost Sensitive-tight-to-tight-tight-to-tight,1336,72.6,47.44
