Model,Cumsum(minutes),Normalized Coverage,Normalized Accuracy,,Results in Table 4.1 in thesis
Random baseline-random,53736,70.49,20.02,,
icts Runtime-random,80207,49.34,4.91,,
epea Runtime-random,69406,54.3,9.98,,
sat Runtime-random,81372,57.53,1.85,,
cbsh-c Runtime-random,18429,98.51,48.71,,
lazycbs Runtime-random,18480,92.8,34.54,,
Best-at-grid-by-norm-cov baseline-random,18405,98.55,48.47,,
Best-at-grid-by-norm-acc baseline-random,13014,97.8,60.29,,
Best-at-maptype-by-norm-cov baseline-random,18429,98.51,48.71,,
Best-at-maptype-by-norm-acc baseline-random,13764,98.48,58.11,,
Optimal Oracle-random,7511,100,100,,
XGBoost Regression-random-random,11104,98.77,51.97,,
XGBoost Classification-random-random,12630,97.51,70.63,,
XGBoost Coverage-random-random,13945,99.02,49.72,,
Cost-Sensitive Coverage-random-random,13606,96.83,69.96,,
CNN Regression-random-random,12618,97.78,49,,
CNN Classification-random-random,13807,97.13,67.39,,
CNN Coverage-random-random,18436,98.51,45.65,,
CNN Cost Sensitive-random-random,14673,98.07,64.98,,
Model,Cumsum(minutes),Normalized Coverage,Normalized Accuracy,Only on random type,
Random baseline-random,17746,63.41,20.16,,
icts Runtime-random,26725,40.08,3.3,,
epea Runtime-random,22723,49.38,6.69,,
sat Runtime-random,24546,48.77,0.07,,
cbsh-c Runtime-random,12792,79.62,27.35,,
lazycbs Runtime-random,1332,99.6,62.58,,
Best-at-grid-by-norm-cov baseline-random,1332,99.6,62.58,,
Best-at-grid-by-norm-acc baseline-random,1332,99.6,62.58,,
Optimal Oracle-random,1015,100,100,,
XGBoost Regression-random-random,1490,99.45,65.49,,
XGBoost Classification-random-random,1694,99.14,80.93,,
XGBoost Coverage-random-random,1536,99.81,64.43,,
Cost-Sensitive Coverage-random-random,1708,99.01,80.57,,
CNN Regression-random-random,1706,99.11,64.12,,
CNN Classification-random-random,1667,99.13,81.09,,
CNN Coverage-random-random,2078,99.68,52.18,,
CNN Cost Sensitive-random-random,1570,99.28,80.15,,
